,FISCAL_YR,FISCAL_MTH,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESC,TRANS_DT,AMT
0,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DOUBLETREE HOTELS WASHING,LODGING,2016-06-03,-5.5
1,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,2016-06-26,18.31
2,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,2016-06-26,21.61
3,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,2016-06-26,22.39
4,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,2016-06-26,5.44
5,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,2016-06-26,17.17
6,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,TAPAS ON MAIN,EATING PLACES RESTAURANTS,2016-06-26,32.67
7,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,TAPAS ON MAIN,EATING PLACES RESTAURANTS,2016-06-26,32.89
8,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372363267867,AIRLINE,2016-06-26,25.0
9,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MTC INC,EATING PLACES RESTAURANTS,2016-06-27,12.33
10,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,2016-06-27,179.0
12,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BOS TAXI 1632,TRAVEL,2016-06-27,30.3
13,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BRENNAN'S OFFICE INTER,OFFICE AND COMMERCIAL FURNITURE,2016-06-27,240.0
14,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,C6 STARBUCKS B21631510,FAST FOOD RESTAURANTS,2016-06-27,10.21
15,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAFE BEIGNET I,EATING PLACES RESTAURANTS,2016-06-27,7.99
16,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,GLOBE,EATING PLACES RESTAURANTS,2016-06-27,12.0
17,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HISTORIC HOTEL BETHLEH,LODGING,2016-06-27,35.0
20,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MAMA MELROSE'S RIST,EATING PLACES RESTAURANTS,2016-06-27,23.65
21,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PMI BWI AIRPORT PARKNG,AUTOMOBILE PARKING LOTS AND GARAGES,2016-06-27,36.0
22,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,2016-06-27,15.57
23,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7120127157000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-06-27,369.92
24,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SUBWAY 00334268,FAST FOOD RESTAURANTS,2016-06-27,12.02
25,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372363399881,AIRLINE,2016-06-27,25.0
28,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 SAN RC F/B,LODGING,2016-06-27,10.28
29,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 SAN RC F/B,LODGING,2016-06-27,20.85
30,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,2016-06-27,12.88
31,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,TOWER AMERICAS REST,EATING PLACES RESTAURANTS,2016-06-27,30.41
32,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMERICAN AI 0010269330166,AIRLINE,2016-06-28,25.0
33,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CALIFORNIA PIZZA 049,EATING PLACES RESTAURANTS,2016-06-28,21.88
34,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHICK-FIL-A #00238,FAST FOOD RESTAURANTS,2016-06-28,6.79
35,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,COLUMBIA HARBOR HOU,FAST FOOD RESTAURANTS,2016-06-28,17.23
36,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,2016-06-28,145.28
37,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,2016-06-28,4.36
38,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,2016-06-28,466.86
39,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,2016-06-28,510.9
40,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,2016-06-28,9.95
41,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MAX LAGERS,EATING PLACES RESTAURANTS,2016-06-28,12.8
42,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,2016-06-28,21.1
43,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,AMERICAN AI 0010652996201,AIRLINE,2016-06-28,75.0
44,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,ESPN SPORTS CLUB,EATING PLACES RESTAURANTS,2016-06-28,19.58
45,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 SAN RC F/B,LODGING,2016-06-28,4.87
46,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,GUAVA AND JAVA,FAST FOOD RESTAURANTS,2016-06-28,5.3
47,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DURANGOS STEAKHOUSE,EATING PLACES RESTAURANTS,2016-06-29,42.0
48,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,LEGAL SEA FOODS #016,EATING PLACES RESTAURANTS,2016-06-29,32.76
49,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,LEGAL SEA FOODS #016,EATING PLACES RESTAURANTS,2016-06-29,34.0
50,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33787 COPLEY F AND B,LODGING,2016-06-29,7.43
51,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,RAGLAN ROAD,EATING PLACES RESTAURANTS,2016-06-29,39.02
52,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,RPS SALISBURY,AUTOMOBILE PARKING LOTS AND GARAGES,2016-06-29,80.0
53,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,2016-06-29,10.29
54,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,UPS*000021X956,FREIGHT CARRIER TRUCKING-LCL-LNG DIST MVG-STORAGE,2016-06-29,6.08
55,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,UPS*000021X956,FREIGHT CARRIER TRUCKING-LCL-LNG DIST MVG-STORAGE,2016-06-29,7.75
56,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,AMERICAN AI 0010269385701,AIRLINE,2016-06-29,25.0
57,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,BURRITO BEACH #7,EATING PLACES RESTAURANTS,2016-06-29,7.94
58,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,CVS PHARMACY #3210 Q03,DRUG STORES PHARMACIES,2016-06-29,3.34
59,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,LUXOR BACKSTAGE DELI,EATING PLACES RESTAURANTS,2016-06-29,16.2
60,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,LUXOR HOTEL/CASINO,LODGING,2016-06-29,165.76
61,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 SAN RC F/B,LODGING,2016-06-29,4.87
62,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,WESTIN SWAN DINING,EATING PLACES RESTAURANTS,2016-06-29,7.99
63,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,WESTIN SWAN DINING,EATING PLACES RESTAURANTS,2016-06-29,8.52
64,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,CAPITAL GRILLE00080366,EATING PLACES RESTAURANTS,2016-06-29,78.15
65,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,2016-06-29,19.54
66,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,2016-06-29,7.28
67,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,CEA,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2016-06-30,325.0
68,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,2GRGA WRLD CGR12924304,FAST FOOD RESTAURANTS,2016-06-30,11.5
69,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,ARAMARK TURNER FIELD,FAST FOOD RESTAURANTS,2016-06-30,24.5
70,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DUNKIN #300417 Q35,FAST FOOD RESTAURANTS,2016-06-30,7.71
71,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,FOGO DE CHAO BOSTON,EATING PLACES RESTAURANTS,2016-06-30,50.0
72,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,FRESH ATTRACTI10154607,FAST FOOD RESTAURANTS,2016-06-30,12.85
73,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33787 COPLEY F AND B,LODGING,2016-06-30,6.9
74,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MRQ FB,LODGING,2016-06-30,6.48
75,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,NASP - PO BOX,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2016-06-30,199.0
